AnimalID,AnimalType,Breed,Color,Sex,IntakeType,IntakeCondition,AgeInDays,AgeGroup,breed_type,Color_grouped,Season,IntakeMonth,DaysInShelter,OutcomeClass
A696566,Cat,Domestic Shorthair Mix,Brown Tabby/White,Intact Female,Stray,Normal,730.0,Adulto joven (1-3a),mix,Bicolor,Invierno,2,5,Transfer
A755674,Dog,Boxer Mix,Brown Brindle,Intact Female,Stray,Normal,150.0,Cachorro (<6m),mix,Monocolor,Verano,8,4,Adoption
A807783,Dog,Miniature Poodle Mix,White,Intact Male,Stray,Normal,1095.0,Adulto (3-7a),mix,Monocolor,Otoño,10,5,Transfer
A749690,Cat,Domestic Shorthair Mix,Brown Tabby/White,Neutered Male,Owner Surrender,Normal,2190.0,Adulto (3-7a),mix,Bicolor,Primavera,5,4,Return to Owner
A752507,Cat,Domestic Shorthair Mix,Black,Intact Male,Stray,Normal,14.0,Cachorro (<6m),mix,Monocolor,Verano,6,12,Transfer
A693739,Cat,Domestic Shorthair Mix,Black/White,Intact Female,Stray,Normal,90.0,Cachorro (<6m),mix,Bicolor,Invierno,12,5,Transfer
A738354,Dog,Pit Bull Mix,Blue/White,Intact Male,Public Assist,Normal,150.0,Cachorro (<6m),mix,Bicolor,Otoño,11,11,Return to Owner
A808752,Cat,Domestic Shorthair,Black,Intact Female,Stray,Nursing,21.0,Cachorro (<6m),purebred,Monocolor,Otoño,11,0,Transfer
A823380,Dog,Standard Poodle,Tan,Neutered Male,Owner Surrender,Normal,3285.0,Senior (>7a),purebred,Monocolor,Otoño,9,2,Adoption
A791398,Dog,Chihuahua Shorthair Mix,Tan/Fawn,Neutered Male,Owner Surrender,Normal,240.0,Joven (6m-1a),mix,Bicolor,Primavera,3,0,Adoption
A829046,Cat,Domestic Shorthair Mix,Brown Tabby/White,Intact Male,Owner Surrender,Normal,730.0,Adulto joven (1-3a),mix,Bicolor,Invierno,2,1,Transfer
A809421,Cat,Domestic Shorthair,Torbie,Intact Female,Stray,Normal,365.0,Adulto joven (1-3a),purebred,Monocolor,Otoño,11,5,Transfer
A758666,Dog,Australian Cattle Dog Mix,Red/White,Spayed Female,Public Assist,Normal,1095.0,Adulto (3-7a),mix,Bicolor,Otoño,9,1,Return to Owner
A813933,Dog,Belgian Malinois,Brown/Black,Spayed Female,Stray,Normal,365.0,Adulto joven (1-3a),purebred,Bicolor,Invierno,2,0,Return to Owner
A727407,Cat,Domestic Shorthair Mix,White,Intact Male,Stray,Normal,30.0,Cachorro (<6m),mix,Monocolor,Primavera,5,7,Adoption
A709687,Dog,Labrador Retriever Mix,Black/White,Intact Male,Stray,Normal,150.0,Cachorro (<6m),mix,Bicolor,Verano,8,12,Adoption
A717312,Cat,Siamese Mix,Seal Point,Intact Male,Stray,Normal,60.0,Cachorro (<6m),mix,Monocolor,Invierno,12,11,Transfer
A677790,Cat,Domestic Shorthair Mix,White/Blue,Intact Male,Owner Surrender,Nursing,14.0,Cachorro (<6m),mix,Bicolor,Primavera,4,8,At Risk
A799806,Cat,Domestic Shorthair,Cream,Intact Male,Stray,Sick,30.0,Cachorro (<6m),purebred,Monocolor,Verano,7,0,At Risk
A708596,Dog,Chihuahua Shorthair Mix,White/Brown,Intact Female,Stray,Normal,730.0,Adulto joven (1-3a),mix,Bicolor,Verano,7,4,Adoption
A675347,Cat,Domestic Shorthair Mix,Brown Tabby,Intact Male,Stray,Nursing,2.0,Cachorro (<6m),mix,Monocolor,Primavera,3,0,Transfer
A749453,Cat,Domestic Medium Hair Mix,White/Black,Neutered Male,Stray,Normal,2555.0,Senior (>7a),mix,Bicolor,Primavera,5,34,Adoption
A752333,Dog,Labrador Retriever Mix,Brown/Black,Neutered Male,Owner Surrender,Normal,365.0,Adulto joven (1-3a),mix,Bicolor,Verano,6,131,Adoption
